photon_energy,axion_mass,flux
2.710810810810810434e+00,0.000000000000000000e+00,7.298601313683233727e+00
2.729729729729729382e+00,0.000000000000000000e+00,7.309135320115631274e+00
2.748648648648648329e+00,0.000000000000000000e+00,7.318806166282996628e+00
2.767567567567566833e+00,0.000000000000000000e+00,7.327622489857618326e+00
2.786486486486485781e+00,0.000000000000000000e+00,7.335593037312830411e+00
2.805405405405404728e+00,0.000000000000000000e+00,7.342726657519684785e+00
2.824324324324323676e+00,0.000000000000000000e+00,7.349032295493518774e+00
2.843243243243242624e+00,0.000000000000000000e+00,7.354518986288354654e+00
2.862162162162162016e+00,0.000000000000000000e+00,7.359195849037218906e+00
2.881081081081080963e+00,0.000000000000000000e+00,7.363072081136261993e+00
2.899999999999999911e+00,0.000000000000000000e+00,7.366156952570806382e+00
2.918918918918918859e+00,0.000000000000000000e+00,7.368459800381136127e+00
2.937837837837837363e+00,0.000000000000000000e+00,7.369990023266216994e+00
2.956756756756756310e+00,0.000000000000000000e+00,7.370757076323159573e+00
2.975675675675675258e+00,0.000000000000000000e+00,7.370770465920568171e+00
2.994594594594594206e+00,0.000000000000000000e+00,7.370039744703680284e+00
3.013513513513513153e+00,0.000000000000000000e+00,7.368574506729355100e+00
3.032432432432432101e+00,0.000000000000000000e+00,7.366384382728888625e+00
3.051351351351351049e+00,0.000000000000000000e+00,7.363479035496701464e+00
3.070270270270269997e+00,0.000000000000000000e+00,7.359868155402877754e+00
3.089189189189188500e+00,0.000000000000000000e+00,7.355561456027694511e+00
3.108108108108107448e+00,0.000000000000000000e+00,7.350568669916008879e+00
3.127027027027026396e+00,0.000000000000000000e+00,7.344899544449739359e+00
3.145945945945945343e+00,0.000000000000000000e+00,7.338563837836368897e+00
3.164864864864864291e+00,0.000000000000000000e+00,7.331571315211570905e+00
3.183783783783783239e+00,0.000000000000000000e+00,7.323931744854099257e+00
3.202702702702702187e+00,0.000000000000000000e+00,7.315654894510960737e+00
3.221621621621621134e+00,0.000000000000000000e+00,7.306750527830992326e+00
3.240540540540540082e+00,0.000000000000000000e+00,7.297228400905001244e+00
3.259459459459459030e+00,0.000000000000000000e+00,7.287098258910533310e+00
3.278378378378377977e+00,0.000000000000000000e+00,7.276369832859482578e+00
3.297297297297296925e+00,0.000000000000000000e+00,7.265052836446645124e+00
3.316216216216215873e+00,0.000000000000000000e+00,7.253156962997397095e+00
3.335135135135134821e+00,0.000000000000000000e+00,7.240691882512739319e+00
3.354054054054053768e+00,0.000000000000000000e+00,7.227667238809838857e+00
3.372972972972972716e+00,0.000000000000000000e+00,7.214092646756321336e+00
3.391891891891891664e+00,0.000000000000000000e+00,7.199977689596538610e+00
3.410810810810810167e+00,0.000000000000000000e+00,7.185331916368088656e+00
3.429729729729729115e+00,0.000000000000000000e+00,7.170164839406805157e+00
3.448648648648648063e+00,0.000000000000000000e+00,7.154485931938564747e+00
3.467567567567567011e+00,0.000000000000000000e+00,7.138304625756126676e+00
3.486486486486485958e+00,0.000000000000000000e+00,7.121630308979444379e+00
3.505405405405404906e+00,0.000000000000000000e+00,7.104472323897625508e+00
3.524324324324323854e+00,0.000000000000000000e+00,7.086839964891092691e+00
3.543243243243242802e+00,0.000000000000000000e+00,7.068742476432081645e+00
3.562162162162161749e+00,0.000000000000000000e+00,7.050189051162115028e+00
3.581081081081080253e+00,0.000000000000000000e+00,7.031188828044655281e+00
3.599999999999999201e+00,0.000000000000000000e+00,7.011750890591482488e+00
3.618918918918918148e+00,0.000000000000000000e+00,6.991884265161196765e+00
3.637837837837837540e+00,0.000000000000000000e+00,6.971597919328326398e+00
3.656756756756756488e+00,0.000000000000000000e+00,6.950900760321521155e+00
3.675675675675675436e+00,0.000000000000000000e+00,6.929801633529288907e+00
3.694594594594594383e+00,0.000000000000000000e+00,6.908309321071913978e+00
3.713513513513513331e+00,0.000000000000000000e+00,6.886432540437954053e+00
3.732432432432432279e+00,0.000000000000000000e+00,6.864179943183965626e+00
3.751351351351350782e+00,0.000000000000000000e+00,6.841560113696023571e+00
3.770270270270269730e+00,0.000000000000000000e+00,6.818581568011589766e+00
3.789189189189188678e+00,0.000000000000000000e+00,6.795252752700425170e+00
3.808108108108107626e+00,0.000000000000000000e+00,6.771582043803089590e+00
3.827027027027026573e+00,0.000000000000000000e+00,6.747577745825745765e+00
3.845945945945945521e+00,0.000000000000000000e+00,6.723248090789943454e+00
3.864864864864864469e+00,0.000000000000000000e+00,6.698601237336036185e+00
3.883783783783783417e+00,0.000000000000000000e+00,6.673645269878986319e+00
3.902702702702701920e+00,0.000000000000000000e+00,6.648388197815235934e+00
3.921621621621621312e+00,0.000000000000000000e+00,6.622837954779477343e+00
3.940540540540540260e+00,0.000000000000000000e+00,6.597002397950015862e+00
3.959459459459459207e+00,0.000000000000000000e+00,6.570889307401535540e+00
3.978378378378378155e+00,0.000000000000000000e+00,6.544506385504096357e+00
3.997297297297297103e+00,0.000000000000000000e+00,6.517861256367175393e+00
4.016216216216216495e+00,0.000000000000000000e+00,6.490961465327590219e+00
4.035135135135135442e+00,0.000000000000000000e+00,6.463814478480172099e+00
4.054054054054054390e+00,0.000000000000000000e+00,6.436427682250081439e+00
4.072972972972973338e+00,0.000000000000000000e+00,6.408808383005641041e+00
4.091891891891892286e+00,0.000000000000000000e+00,6.380963806710645336e+00
4.110810810810811233e+00,0.000000000000000000e+00,6.352901098615036268e+00
4.129729729729730181e+00,0.000000000000000000e+00,6.324627322982923516e+00
4.148648648648648241e+00,0.000000000000000000e+00,6.296149462856947210e+00
4.167567567567567188e+00,0.000000000000000000e+00,6.267474419857917312e+00
4.186486486486486136e+00,0.000000000000000000e+00,6.238609014018781096e+00
4.205405405405405084e+00,0.000000000000000000e+00,6.209559983651924853e+00
4.224324324324324031e+00,0.000000000000000000e+00,6.180333985248869233e+00
4.243243243243242979e+00,0.000000000000000000e+00,6.150937593411394566e+00
4.262162162162161927e+00,0.000000000000000000e+00,6.121377300813191091e+00
4.281081081081080875e+00,0.000000000000000000e+00,6.091659518191127276e+00
4.299999999999999822e+00,0.000000000000000000e+00,6.061790574365221396e+00
4.318918918918918770e+00,0.000000000000000000e+00,6.031776716286501916e+00
4.337837837837837718e+00,0.000000000000000000e+00,6.001624109111829419e+00
4.356756756756756666e+00,0.000000000000000000e+00,5.971338836304871833e+00
4.375675675675675613e+00,0.000000000000000000e+00,5.940926899762449587e+00
4.394594594594594561e+00,0.000000000000000000e+00,5.910394219965342977e+00
4.413513513513513509e+00,0.000000000000000000e+00,5.879746636152892947e+00
4.432432432432432456e+00,0.000000000000000000e+00,5.848989906520493776e+00
4.451351351351351404e+00,0.000000000000000000e+00,5.818129708439323977e+00
4.470270270270269464e+00,0.000000000000000000e+00,5.787171638697495624e+00
4.489189189189188411e+00,0.000000000000000000e+00,5.756121213761912436e+00
4.508108108108107359e+00,0.000000000000000000e+00,5.724983870060158075e+00
4.527027027027026307e+00,0.000000000000000000e+00,5.693764964281639251e+00
4.545945945945945255e+00,0.000000000000000000e+00,5.662469773697347719e+00
4.564864864864864202e+00,0.000000000000000000e+00,5.631103496497582128e+00
4.583783783783783150e+00,0.000000000000000000e+00,5.599671252146897871e+00
4.602702702702702098e+00,0.000000000000000000e+00,5.568178081755730702e+00
4.621621621621621934e+00,0.000000000000000000e+00,5.536628948467984479e+00
4.640540540540540881e+00,0.000000000000000000e+00,5.505028737864036792e+00
4.659459459459459829e+00,0.000000000000000000e+00,5.473382258378478582e+00
4.678378378378378777e+00,0.000000000000000000e+00,5.441694241732068171e+00
4.697297297297297725e+00,0.000000000000000000e+00,5.409969343377290407e+00
4.716216216216216672e+00,0.000000000000000000e+00,5.378212142956940944e+00
4.735135135135135620e+00,0.000000000000000000e+00,5.346427144775215190e+00
4.754054054054054568e+00,0.000000000000000000e+00,5.314618778280749467e+00
